File: ferro-gw
Build ID: 03685a972842b301917b73b757b68b086fefc884
Type: cpu
Time: 2026-03-26 04:41:12 UTC
Duration: 30.15s, Total samples = 9.90s (32.83%)
Showing nodes accounting for 7.35s, 74.24% of 9.90s total
Dropped 432 nodes (cum <= 0.05s)
      flat  flat%   sum%        cum   cum%
     0.01s   0.1% 69.29%      0.25s  2.53%  encoding/json.arrayEncoder.encode
     0.01s   0.1% 69.39%      0.24s  2.42%  encoding/json.condAddrEncoder.encode
     0.01s   0.1% 69.49%      1.25s 12.63%  github.com/ferro-labs/ai-gateway.(*Gateway).Route.func3
     0.01s   0.1% 69.60%      0.10s  1.01%  github.com/ferro-labs/ai-gateway/providers/core.(*Message).UnmarshalJSON
     0.01s   0.1% 69.70%      0.05s  0.51%  github.com/prometheus/client_golang/prometheus.(*MetricVec).hashLabelValues
     0.01s   0.1% 69.80%      0.67s  6.77%  internal/poll.(*FD).Accept
     0.01s   0.1% 69.90%      0.62s  6.26%  internal/poll.(*FD).Close
     0.01s   0.1% 70.00%      0.60s  6.06%  internal/poll.(*FD).Read
     0.01s   0.1% 70.10%      0.08s  0.81%  internal/poll.(*pollDesc).wait
     0.01s   0.1% 70.20%      0.65s  6.57%  internal/poll.accept
     0.01s   0.1% 70.30%      0.05s  0.51%  internal/poll.runtime_pollSetDeadline
     0.01s   0.1% 70.40%      0.34s  3.43%  internal/runtime/syscall.EpollWait
     0.01s   0.1% 70.51%      2.69s 27.17%  main.corsMiddleware.func1.1
     0.01s   0.1% 70.61%      0.66s  6.67%  net.(*conn).Close
     0.01s   0.1% 70.71%      0.62s  6.26%  net.(*conn).Read
     0.01s   0.1% 70.81%      0.81s  8.18%  net.(*netFD).accept
     0.01s   0.1% 70.91%      0.11s  1.11%  net.setKeepAlive
     0.01s   0.1% 71.01%      0.08s  0.81%  net.setNoDelay
     0.01s   0.1% 71.11%      0.43s  4.34%  net/http.(*Client).do
     0.01s   0.1% 71.21%      0.40s  4.04%  net/http.(*Client).send
